"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area";"Technology";"Data Type";"Grid connection";"Year";Electricity statistics (MW/GWh)
"Albania";"Renewable hydropower";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Mixed Hydro Plants";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Mixed Hydro Plants";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Mixed Hydro Plants";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Mixed Hydro Plants";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Mixed Hydro Plants";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Mixed Hydro Plants";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Marine energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Marine energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Marine energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Marine energy";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Marine energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Marine energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Solid biofuels";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Solid biofuels";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Solid biofuels";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Solid biofuels";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Solid biofuels";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Solid biofuels";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Renewable municipal waste";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Renewable municipal waste";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Renewable municipal waste";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Renewable municipal waste";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Renewable municipal waste";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Renewable municipal waste";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Liquid biofuels";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Liquid biofuels";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Liquid biofuels";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Liquid biofuels";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Liquid biofuels";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Liquid biofuels";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Biogas";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Biogas";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Biogas";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Biogas";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Biogas";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Biogas";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Geothermal energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Geothermal energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Geothermal energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Geothermal energy";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Geothermal energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Geothermal energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Total Non-Renewable";"Electricity Installed Capacity (MW)";"All";"2000";224.0000
"Albania";"Total Non-Renewable";"Electricity Installed Capacity (MW)";"On-grid";"2000";224.0000
"Albania";"Total Non-Renewable";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Total Non-Renewable";"Electricity Generation (GWh)";"All";"2000";184.0000
"Albania";"Total Non-Renewable";"Electricity Generation (GWh)";"On-grid";"2000";184.0000
"Albania";"Total Non-Renewable";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Pumped storage";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Pumped storage";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Pumped storage";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Pumped storage";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Pumped storage";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Pumped storage";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Coal and peat";"Electricity Installed Capacity (MW)";"All";"2000";35.4000
"Albania";"Coal and peat";"Electricity Installed Capacity (MW)";"On-grid";"2000";35.4000
"Albania";"Coal and peat";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Coal and peat";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Coal and peat";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Coal and peat";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Oil";"Electricity Installed Capacity (MW)";"All";"2000";188.6000
"Albania";"Oil";"Electricity Installed Capacity (MW)";"On-grid";"2000";188.6000
"Albania";"Oil";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Oil";"Electricity Generation (GWh)";"All";"2000";184.0000
