Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
45.0,0.0,1694.0,24.0,1380.0,10.0,0.0,0.0,486.0,0.0,2381.0,1004.0,1.0,1.0,428.0,0.0,1206.0,2.0,1377.0,0.0
45.0,0.0,1604.0,24.0,1365.0,10.0,0.0,0.0,486.0,0.0,2139.0,1047.0,1.0,1.0,431.0,0.0,1084.0,2.0,1304.0,0.0
45.0,0.0,1574.0,24.0,1359.0,10.0,0.0,0.0,486.0,0.0,2024.0,1044.0,1.0,1.0,436.0,0.0,974.0,2.0,1164.0,0.0
45.0,0.0,1548.0,24.0,1353.0,10.0,0.0,0.0,486.0,0.0,1912.0,1075.0,1.0,1.0,428.0,0.0,941.0,2.0,1031.0,0.0
45.0,0.0,1530.0,24.0,1284.0,10.0,0.0,0.0,486.0,0.0,1867.0,1110.0,1.0,1.0,427.0,0.0,932.0,2.0,956.0,0.0
45.0,0.0,1661.0,24.0,1232.0,10.0,0.0,0.0,486.0,0.0,1811.0,1123.0,1.0,1.0,429.0,0.0,987.0,2.0,1176.0,0.0
45.0,0.0,1612.0,24.0,1207.0,11.0,0.0,0.0,486.0,0.0,1750.0,1123.0,1.0,1.0,433.0,0.0,1048.0,3.0,1140.0,0.0
45.0,0.0,1559.0,24.0,1212.0,13.0,0.0,0.0,486.0,0.0,1811.0,1125.0,1.0,1.0,424.0,0.0,1088.0,3.0,1044.0,0.0
45.0,0.0,1557.0,24.0,1216.0,14.0,0.0,0.0,486.0,0.0,1808.0,1150.0,1.0,1.0,416.0,0.0,1042.0,2.0,1036.0,0.0
45.0,0.0,1619.0,24.0,1219.0,14.0,0.0,0.0,486.0,0.0,1888.0,1189.0,1.0,1.0,425.0,0.0,1017.0,5.0,1114.0,0.0
45.0,0.0,1638.0,23.0,1221.0,14.0,0.0,0.0,486.0,0.0,1795.0,1198.0,1.0,1.0,434.0,0.0,1032.0,6.0,1050.0,0.0
45.0,0.0,1683.0,24.0,1221.0,14.0,0.0,0.0,486.0,0.0,1602.0,1211.0,1.0,1.0,436.0,0.0,1036.0,6.0,954.0,0.0
45.0,0.0,1733.0,23.0,1219.0,14.0,0.0,0.0,486.0,0.0,1490.0,1262.0,1.0,1.0,427.0,0.0,988.0,6.0,732.0,0.0
45.0,0.0,1784.0,24.0,1223.0,16.0,0.0,0.0,486.0,0.0,1393.0,1266.0,1.0,1.0,426.0,0.0,972.0,6.0,678.0,0.0
45.0,0.0,1782.0,24.0,1251.0,18.0,0.0,0.0,486.0,0.0,1336.0,1265.0,1.0,1.0,422.0,0.0,906.0,9.0,668.0,0.0
45.0,0.0,1764.0,24.0,1254.0,18.0,0.0,0.0,486.0,0.0,1260.0,1220.0,1.0,1.0,435.0,0.0,897.0,12.0,702.0,0.0
45.0,0.0,1756.0,19.0,1247.0,18.0,0.0,0.0,486.0,0.0,1249.0,1185.0,1.0,1.0,431.0,0.0,871.0,10.0,694.0,0.0
45.0,0.0,1799.0,19.0,1245.0,18.0,0.0,0.0,486.0,0.0,1225.0,1190.0,1.0,1.0,431.0,0.0,888.0,8.0,723.0,1.0
45.0,0.0,1785.0,19.0,1240.0,18.0,0.0,0.0,486.0,0.0,1255.0,1173.0,1.0,1.0,409.0,0.0,955.0,9.0,804.0,1.0
45.0,0.0,1740.0,20.0,1214.0,18.0,0.0,0.0,486.0,0.0,1228.0,1223.0,1.0,1.0,417.0,0.0,1074.0,4.0,794.0,1.0
45.0,0.0,1749.0,20.0,1207.0,20.0,0.0,0.0,486.0,0.0,1164.0,1325.0,1.0,1.0,422.0,0.0,1243.0,4.0,677.0,1.0
45.0,0.0,1725.0,19.0,1206.0,20.0,0.0,0.0,486.0,0.0,1195.0,1353.0,1.0,1.0,439.0,0.0,1312.0,4.0,688.0,0.0
45.0,0.0,1627.0,20.0,1208.0,19.0,0.0,0.0,486.0,0.0,1193.0,1389.0,1.0,1.0,438.0,0.0,1120.0,4.0,766.0,0.0
45.0,0.0,1623.0,24.0,1207.0,18.0,0.0,0.0,486.0,0.0,1206.0,1386.0,1.0,1.0,433.0,0.0,957.0,4.0,786.0,0.0
45.0,0.0,1630.0,26.0,1202.0,19.0,0.0,0.0,486.0,0.0,1304.0,1402.0,1.0,1.0,426.0,0.0,870.0,3.0,790.0,0.0
45.0,0.0,1798.0,25.0,1202.0,22.0,0.0,0.0,486.0,0.0,1370.0,1377.0,1.0,1.0,422.0,0.0,964.0,3.0,922.0,0.0
45.0,0.0,1815.0,25.0,1222.0,23.0,0.0,0.0,486.0,0.0,1454.0,1323.0,1.0,1.0,425.0,0.0,880.0,11.0,1008.0,0.0
45.0,0.0,1820.0,24.0,1229.0,23.0,0.0,0.0,486.0,0.0,1510.0,1275.0,1.0,1.0,422.0,0.0,766.0,9.0,1006.0,0.0
45.0,0.0,1786.0,23.0,1222.0,25.0,0.0,0.0,486.0,0.0,1539.0,1250.0,1.0,1.0,415.0,0.0,705.0,15.0,1038.0,0.0
45.0,0.0,1834.0,23.0,1244.0,25.0,0.0,0.0,486.0,0.0,1553.0,1277.0,1.0,1.0,417.0,0.0,622.0,20.0,1155.0,0.0
45.0,0.0,1752.0,23.0,1251.0,25.0,0.0,0.0,486.0,0.0,1683.0,1280.0,1.0,1.0,420.0,0.0,581.0,18.0,1201.0,0.0
45.0,0.0,1703.0,24.0,1246.0,25.0,0.0,0.0,486.0,0.0,1902.0,1258.0,1.0,1.0,428.0,0.0,582.0,17.0,1170.0,0.0
45.0,0.0,1649.0,23.0,1234.0,24.0,0.0,0.0,486.0,0.0,2067.0,1244.0,1.0,1.0,427.0,0.0,580.0,16.0,1224.0,0.0
45.0,0.0,1627.0,23.0,1226.0,24.0,0.0,0.0,486.0,0.0,2130.0,1283.0,1.0,1.0,426.0,0.0,587.0,18.0,1199.0,0.0
45.0,0.0,1568.0,23.0,1219.0,24.0,0.0,0.0,486.0,0.0,2180.0,1304.0,1.0,1.0,420.0,0.0,577.0,19.0,1207.0,0.0
45.0,0.0,1524.0,23.0,1200.0,24.0,0.0,0.0,486.0,0.0,2137.0,1338.0,1.0,1.0,422.0,0.0,544.0,17.0,1192.0,0.0
45.0,0.0,1526.0,23.0,1201.0,25.0,0.0,0.0,486.0,0.0,2174.0,1347.0,1.0,1.0,420.0,0.0,510.0,18.0,1195.0,0.0
45.0,0.0,1522.0,23.0,1281.0,26.0,0.0,0.0,486.0,0.0,2157.0,1398.0,1.0,1.0,416.0,0.0,458.0,18.0,1150.0,0.0
45.0,0.0,1526.0,23.0,1319.0,27.0,0.0,0.0,486.0,0.0,2220.0,1397.0,1.0,1.0,415.0,0.0,394.0,16.0,1240.0,0.0
45.0,0.0,1517.0,23.0,1326.0,27.0,0.0,0.0,486.0,0.0,2203.0,1420.0,1.0,1.0,418.0,0.0,309.0,12.0,1233.0,0.0
